baseline,epoch,ddi,jaccard,prauc,precision,recall,f1,avg_med
MoleRec,1,0.0661,0.4775,0.7186,0.5955,0.7173,0.6372,23.4423
MoleRec,2,0.0711,0.4940,0.7363,0.6080,0.7361,0.6526,23.5265
MoleRec,3,0.0703,0.4997,0.7430,0.6268,0.7223,0.6580,22.4111
MoleRec,4,0.0748,0.5228,0.7691,0.6652,0.7208,0.6779,21.0781
MoleRec,5,0.0726,0.5259,0.7704,0.6625,0.7297,0.6806,21.4563
MoleRec,6,0.0721,0.5247,0.7717,0.6595,0.7302,0.6798,21.5397
MoleRec,7,0.0762,0.5274,0.7732,0.6642,0.7284,0.6819,21.3085
MoleRec,8,0.0707,0.5281,0.7749,0.6568,0.7395,0.6824,21.8820
MoleRec,9,0.0719,0.5286,0.7749,0.6588,0.7372,0.6830,21.7552
MoleRec,10,0.0740,0.5301,0.7752,0.6688,0.7278,0.6842,21.1294
MoleRec,11,0.0728,0.5276,0.7760,0.6605,0.7341,0.6821,21.7376
MoleRec,12,0.0720,0.5305,0.7758,0.6720,0.7264,0.6845,21.1141
MoleRec,13,0.0723,0.5307,0.7757,0.6759,0.7208,0.6846,20.7473
MoleRec,14,0.0710,0.5307,0.7771,0.6622,0.7375,0.6848,21.7253
MoleRec,15,0.0730,0.5314,0.7773,0.6785,0.7212,0.6855,20.6814
MoleRec,16,0.0734,0.5294,0.7767,0.6783,0.7174,0.6836,20.5748
MoleRec,17,0.0714,0.5299,0.7754,0.6654,0.7319,0.6841,21.4656
MoleRec,18,0.0711,0.5280,0.7747,0.6679,0.7249,0.6825,21.0926
MoleRec,19,0.0725,0.5294,0.7757,0.6714,0.7241,0.6837,20.9596
MoleRec,20,0.0729,0.5295,0.7760,0.6706,0.7254,0.6839,20.9517
MoleRec,21,0.0737,0.5321,0.7765,0.6771,0.7235,0.6860,20.7977
MoleRec,22,0.0718,0.5311,0.7761,0.6801,0.7189,0.6853,20.5937
MoleRec,23,0.0735,0.5324,0.7764,0.6733,0.7277,0.6863,21.0759
MoleRec,24,0.0710,0.5307,0.7759,0.6722,0.7261,0.6849,21.0535
MoleRec,25,0.0734,0.5317,0.7751,0.6765,0.7225,0.6857,20.7258
MoleRec,26,0.0742,0.5324,0.7771,0.6645,0.7383,0.6863,21.6095
MoleRec,27,0.0740,0.5297,0.7736,0.6650,0.7334,0.6841,21.4392
MoleRec,28,0.0716,0.5313,0.7770,0.6648,0.7356,0.6853,21.5195
MoleRec,29,0.0725,0.5294,0.7742,0.6612,0.7365,0.6838,21.6775
MoleRec,30,0.0711,0.5300,0.7750,0.6688,0.7292,0.6842,21.2387
